source,raw_name,original_price,discount_price,url,crawled_date
GearVN,Card màn hình ASUS ROG Astral GeForce RTX 5090 32GB GDDR7 OC White Edition (ROG-ASTRAL-RTX5090-O32G-GAMING-WHITE),114990000,102990000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình Asus GeForce RTX 5060 DUAL OC 8GB,10990000,9790000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình ASUS GeForce RTX 5050 Dual 8GB,8290000,7890000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình ASUS GeForce RTX 5050 Prime 8GB,9590000,9390000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình MSI GeForce RTX 5070 Ti 16G GAMING TRIO OC,31990000,29490000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình ASUS GeForce RTX 5050 Prime OC 8GB,9890000,8690000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình ASUS GeForce RTX 5050 Dual OC 8GB,9290000,7490000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình Gigabyte GeForce RTX 5050 Windforce OC 8GB,8690000,8390000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình Gigabyte GeForce RTX 5050 Gaming OC 8GB,9490000,8890000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình MSI GeForce RTX 5050 Shadow 2X OC 8GB,7890000,7490000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình MSI GeForce RTX 5050 Ventus 2X OC 8GB,8590000,8390000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình MSI GeForce RTX 5050 Gaming OC 8GB,8990000,8790000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình MSI GeForce RTX 5060 Shadow 2X OC 8GB,10490000,9890000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình Zotac GeForce RTX 5060 Twin Edge OC 8GB,9990000,9690000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình ASUS Dual GeForce RTX 5070 12GB GDDR7 OC Edition,20490000,19990000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình MSI GeForce RTX 5070 Ti 16G GAMING TRIO OC White,33990000,32490000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình MSI GeForce RTX 5060 Gaming Trio OC 8GB,13490000,12990000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình MSI GeForce RTX 5060 Gaming Trio OC White 8GB,13990000,12990000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình MSI GeForce RTX 5060 Ti Ventus 2X Plus 8GB,14990000,12990000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình Gigabyte GeForce RTX 5060 Eagle OC 8GB,11390000,10890000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình Gigabyte GeForce RTX 5060 Windforce 8GB,0,9990000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình Gigabyte GeForce RTX 5060 Windforce OC 8GB,10990000,10490000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình Asus GeForce RTX 5060 Prime OC 8GB,11290000,10690000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình Asus GeForce RTX 5060 TUF Gaming OC 8GB,12490000,11890000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình Gigabyte GeForce RTX 5060 Ti Windforce OC 8GB,14990000,12990000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình MSI GeForce RTX 5070 12G SHADOW 3X OC,22990000,20990000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
GearVN,Card màn hình MSI GeForce RTX 5060 Ti Ventus 3X OC 16GB,16790000,16390000,https://gearvn.com/collections/vga-rtx-50-series,08/05/2026 09:28:01
